出现时间(s),模式,字体大小,颜色,时间戳,弹幕池,用户ID,rowID,弹幕内容
2840.48100,5,25,16707842,1639899193,0,be23cdd9,1744263424960937473,10,有时候死人比活人有用
4024.37300,5,25,16646914,1636974624,0,c6275c6b,1744260229572378114,10,大哥：合着就tm剩我了是吧
6678.01500,5,25,16777215,1633977494,0,c50e1ef8,1744257467077934592,10,黄四郎收了属于你们的银子，我给你们武器去把你们的银子都抢四来！
2231.85600,1,25,16777215,1646634424,0,16411391,1744269584111812096,10,翻译：这几百人都归我管，全部都落我嘴里了
2526.88000,5,25,15138834,1640319151,0,7f5020db,1744263732000767488,10,张麻子（黄四郎）不想死的时候我能让他死了。！
3544.73600,5,25,15138834,1651321934,0,879048d9,1744273072170515968,10,真正的，衷心的人却(被和平)了，因为赚到钱了，而人们以为他也是爱钱财
3631.79100,5,25,16707842,1640946362,0,62ab332,1744264420923588097,10,你们投币时的样子
1930.97100,5,25,16707842,1643388522,0,1189fa6,1744266946674736640,10,谢谢不是好东西
3635.01300,5,25,15138834,1644680366,0,fa182d00,1744268408138022400,10,买玻璃的:虽然我没拿到钱，但是我还是谢谢您嘞
6893.80800,5,25,14811775,1657620649,0,d2b4530,1744278814122360320,10,门和纸一样民众也不敢反，这是隐喻
802.11500,5,25,15138834,1648307911,0,34bbdebb,1744270598722338304,10,蛋不入身
7622.72700,1,25,16777215,1644387604,0,c1f51434,1744268095033228800,10,意思是，新的取代旧的，只不过是头变了一下，那些墙头草们不过换了个称呼而已，他们还是他们
2679.67100,5,25,15138834,1628862561,0,7984e410,1744249110606691840,10,翻译：我的腿就是我的命（doge）
5001.60400,5,25,16707842,1645529446,0,127c5acf,1744268962801171968,10,能不能把你裤子提上去啊
6738.93600,5,25,16707842,1642925621,0,aec09841,1744266468322754048,10,他马的刁民敢杀我的马
3991.91200,5,25,16776960,1662777347,0,2978685c,1744284370123931136,10,老五性格特征：心狠手辣
7512.95100,1,25,16777215,1642382659,0,b67e007d,1744265822970363392,10,他放弃了一切，最终还是被人背叛
3157.70200,5,25,16707842,1641181013,0,db780eda,1744264765854760448,10,多死几回，就让他死了两回
786.63800,5,25,41194,1648201210,0,b6b7f643,1744270513385029120,10,(三天之内)拔他几颗牙～
3010.00900,5,25,41194,1649738337,0,adff88d3,1744271786347904512,10,前方♂高能
3949.91100,5,25,16777215,1582302507,0,821b0d05,1744168081434918400,10,师爷对他们其实有中产文人阶级的优越感
1949.47100,5,25,15138834,1660614358,0,850d8e78,1744282164607892992,10,杀人还要拔根？!!
5785.65600,1,25,16765698,1643726443,0,10539e07,1744267410673810944,10,左卧龙，右凤雏，中间一个大聪明
